# Chua circuit — regime 1: fixed_point
time_ms,x_V,y_V,z_V
30738.516,-1.2705,0.0800,0.1532
30738.547,-1.2692,0.0836,0.1508
30738.576,-1.2705,0.0812,0.1496
30738.605,-1.2717,0.0836,0.1508
30738.637,-1.2692,0.0849,0.1520
30738.666,-1.2680,0.0836,0.1508
30738.695,-1.2692,0.0836,0.1520
30738.727,-1.2692,0.0836,0.1520
30738.756,-1.2692,0.0849,0.1545
30738.785,-1.2668,0.0861,0.1508
30738.816,-1.2692,0.0836,0.1520
30738.846,-1.2692,0.0861,0.1520
30738.877,-1.2692,0.0836,0.1545
30738.906,-1.2680,0.0861,0.1532
30738.936,-1.2692,0.0836,0.1520
30738.967,-1.2692,0.0849,0.1520
30738.996,-1.2705,0.0849,0.1520
30739.025,-1.2705,0.0836,0.1520
30739.057,-1.2692,0.0861,0.1520
30739.086,-1.2692,0.0849,0.1532
30739.115,-1.2692,0.0861,0.1532
30739.146,-1.2680,0.0849,0.1520
30739.176,-1.2692,0.0836,0.1520
30739.205,-1.2692,0.0849,0.1545
30739.236,-1.2680,0.0861,0.1532
30739.266,-1.2680,0.0861,0.1545
30739.297,-1.2692,0.0824,0.1532
30739.326,-1.2680,0.0849,0.1520
30739.355,-1.2705,0.0849,0.1520
30739.387,-1.2680,0.0849,0.1532
30739.416,-1.2692,0.0849,0.1520
30739.445,-1.2692,0.0849,0.1545
30739.477,-1.2692,0.0849,0.1532
30739.506,-1.2692,0.0836,0.1508
30739.535,-1.2692,0.0824,0.1520
30739.566,-1.2692,0.0849,0.1532
30739.596,-1.2692,0.0836,0.1532
30739.627,-1.2692,0.0849,0.1484
30739.656,-1.2705,0.0861,0.1520
30739.686,-1.2680,0.0849,0.1508
30739.717,-1.2692,0.0836,0.1508
30739.746,-1.2705,0.0836,0.1520
30739.775,-1.2705,0.0824,0.1508
30739.807,-1.2705,0.0849,0.1520
30739.836,-1.2924,0.0861,0.1520
30739.865,-1.2692,0.0836,0.1508
30739.896,-1.2692,0.0849,0.1532
30739.926,-1.2692,0.0861,0.1545
30739.955,-1.2692,0.0861,0.1532
30739.986,-1.2680,0.0861,0.1532
30740.016,-1.2692,0.0849,0.1520
30740.047,-1.2705,0.0849,0.1532
30740.076,-1.2692,0.0836,0.1520
30740.105,-1.2814,0.0861,0.1520
30740.137,-1.2692,0.0824,0.1520
30740.166,-1.2656,0.0849,0.1545
30740.195,-1.2680,0.0849,0.1520
30740.227,-1.2680,0.0873,0.1532
30740.256,-1.2680,0.0861,0.1532
30740.285,-1.2668,0.0861,0.1532
30740.316,-1.2680,0.0873,0.1532
30740.346,-1.2692,0.0849,0.1520
30740.377,-1.2692,0.0836,0.1520
30740.406,-1.2705,0.0836,0.1520
30740.436,-1.2692,0.0873,0.1545
30740.467,-1.2680,0.0873,0.1520
30740.496,-1.2680,0.0849,0.1532
30740.525,-1.2692,0.0861,0.1532
30740.557,-1.2705,0.0849,0.1545
30740.586,-1.2680,0.0873,0.1545
30740.615,-1.2692,0.0836,0.1520
30740.646,-1.2680,0.0849,0.1520
30740.676,-1.2705,0.0873,0.1532
30740.705,-1.2705,0.0836,0.1520
30740.736,-1.2692,0.0836,0.1520
30740.766,-1.2692,0.0836,0.1520
30740.797,-1.2705,0.0824,0.1508
30740.826,-1.2705,0.0836,0.1508
30740.855,-1.2705,0.0849,0.1520
30740.887,-1.2680,0.0849,0.1484
30740.916,-1.2705,0.0849,0.1520
30740.945,-1.2692,0.0849,0.1496
30740.977,-1.2717,0.0800,0.1496
30741.006,-1.2705,0.0824,0.1496
30741.035,-1.2705,0.0824,0.1496
30741.066,-1.2717,0.0836,0.1508
30741.096,-1.2692,0.0836,0.1508
30741.127,-1.2680,0.0824,0.1508
30741.156,-1.2692,0.0836,0.1520
30741.186,-1.2680,0.0849,0.1520
30741.217,-1.2692,0.0861,0.1532
30741.246,-1.2668,0.0861,0.1532
30741.275,-1.2705,0.0849,0.1520
30741.307,-1.2705,0.0849,0.1520
30741.336,-1.2680,0.0836,0.1520
