# Chua circuit — regime 3: period_doubled
time_ms,x_V,y_V,z_V
133043.797,-1.8419,-0.1777,0.1044
133043.844,-1.8858,0.2643,0.5232
133043.891,-0.8834,0.4731,0.4035
133043.953,-0.1496,0.1496,-0.0214
133044.000,-0.4560,-0.1728,-0.1777
133044.047,-1.6661,-0.1606,0.0946
133044.094,-1.8016,0.2338,0.4744
133044.156,-0.9408,0.4304,0.3742
133044.203,-0.3987,0.1239,-0.0470
133044.250,-1.1044,-0.2277,-0.1581
133044.297,-1.9945,-0.0775,0.2436
133044.359,-1.6636,0.3779,0.5549
133044.406,-0.6355,0.4170,0.2766
133044.453,-0.0873,0.0348,-0.1020
133044.500,-0.8309,-0.2167,-0.1484
133044.547,-1.8407,-0.0714,0.2204
133044.594,-1.6197,0.3376,0.5134
133044.641,-0.7076,0.3926,0.2705
133044.703,-0.4182,0.0092,-0.1215
133044.750,-1.3718,-0.2473,-0.1056
133044.797,-2.0458,0.0238,0.3486
133044.844,-1.4280,0.4377,0.5403
133044.891,-0.4304,0.3291,0.1532
133044.953,-0.1105,-0.0507,-0.1484
133045.000,-1.1923,-0.2241,-0.0763
133045.047,-1.9139,0.0409,0.3376
133045.094,-1.3803,0.4048,0.4890
133045.156,-0.5562,0.2985,0.1410
133045.203,-0.5842,-0.1032,-0.1789
133045.250,-1.6551,-0.2265,0.0031
133045.297,-2.0006,0.1618,0.4719
133045.359,-1.1190,0.4841,0.4731
133045.406,-0.2631,0.2338,0.0531
133045.453,-0.2485,-0.1227,-0.1813
133045.500,-1.4670,-0.2045,0.0031
133045.547,-1.8919,0.1593,0.4341
133045.594,-1.1117,0.4365,0.4377
133045.641,-0.4280,0.2009,0.0324
133045.703,-0.8614,-0.1825,-0.1862
133045.750,-1.8810,-0.1569,0.1361
133045.797,-1.8480,0.2912,0.5305
133045.844,-0.8297,0.4426,0.3779
133045.891,-0.1349,0.1203,-0.0397
133045.953,-0.5317,-0.1886,-0.1740
133046.000,-1.7088,-0.1422,0.1264
133046.047,-1.7650,0.2631,0.4927
133046.094,-0.8822,0.4255,0.3559
133046.156,-0.3938,0.0983,-0.0604
133046.203,-1.1398,-0.2387,-0.1532
133046.250,-2.0165,-0.0556,0.2656
133046.297,-1.6062,0.3901,0.5549
133046.359,-0.5830,0.3974,0.2497
133046.406,-0.0751,0.0189,-0.1093
133046.453,-0.9188,-0.2167,-0.1325
133046.500,-1.8687,-0.0495,0.2473
133046.547,-1.5684,0.3510,0.5073
133046.594,-0.6697,0.3669,0.2363
133046.641,-0.4475,-0.0177,-0.1422
133046.703,-1.4438,-0.2485,-0.0775
133046.750,-2.0433,0.0617,0.3852
133046.797,-1.3523,0.4585,0.5293
133046.844,-0.4035,0.3144,0.1398
133046.891,-0.1276,-0.0812,-0.1667
133046.953,-1.2778,-0.2265,-0.0592
133047.000,-1.9151,0.0690,0.3632
133047.047,-1.3132,0.4170,0.4853
133047.094,-0.5183,0.2790,0.1190
133047.156,-0.6538,-0.1239,-0.1850
133047.203,-1.7234,-0.2082,0.0397
133047.250,-1.9701,0.1984,0.4853
