# Chua circuit — regime 2: limit_cycle
time_ms,x_V,y_V,z_V
121405.203,-0.9774,0.4182,0.3168
121405.258,-0.5989,0.0043,-0.1361
121405.305,-1.4792,-0.2253,-0.0067
121405.352,-1.9139,0.1838,0.4719
121405.406,-1.0507,0.4231,0.3449
121405.453,-0.5745,0.0433,-0.1215
121405.508,-1.4096,-0.2302,-0.0397
121405.555,-1.9432,0.1313,0.4365
121405.602,-1.1642,0.4328,0.3962
121405.656,-0.5598,0.0946,-0.0812
121405.703,-1.2961,-0.2338,-0.0824
121405.750,-1.9554,0.0739,0.3987
121405.805,-1.2705,0.4304,0.4353
121405.859,-0.5672,0.1496,-0.0397
121405.906,-1.1813,-0.2253,-0.1178
121405.953,-1.9481,0.0214,0.3523
121406.000,-1.3877,0.4182,0.4560
121406.055,-0.5781,0.1850,-0.0067
121406.102,-1.1056,-0.2179,-0.1374
121406.148,-1.9322,-0.0140,0.3193
121406.211,-1.4609,0.4109,0.4841
121406.258,-0.6087,0.2350,0.0421
121406.305,-0.9957,-0.1972,-0.1606
121406.352,-1.8956,-0.0617,0.2656
121406.398,-1.5659,0.3840,0.5037
121406.453,-0.6551,0.2839,0.0995
121406.508,-0.8907,-0.1667,-0.1740
121406.555,-1.8407,-0.1093,0.2106
121406.609,-1.6624,0.3510,0.5147
121406.656,-0.7149,0.3266,0.1545
121406.703,-0.8284,-0.1435,-0.1777
121406.750,-1.7955,-0.1349,0.1716
121406.797,-1.7210,0.3254,0.5134
121406.859,-0.7650,0.3486,0.1886
121406.906,-0.7454,-0.1044,-0.1777
121406.953,-1.7161,-0.1703,0.1178
121407.008,-1.7979,0.2839,0.5085
121407.055,-0.8492,0.3828,0.2460
121407.102,-0.6697,-0.0580,-0.1642
121407.148,-1.6221,-0.1996,0.0617
121407.203,-1.8639,0.2399,0.4939
121407.258,-0.9432,0.4096,0.2961
121407.305,-0.6160,-0.0140,-0.1484
121407.352,-1.5244,-0.2143,0.0287
121407.406,-1.8968,0.2070,0.4792
121407.453,-1.0092,0.4219,0.3327
121407.508,-0.5867,0.0226,-0.1288
121407.555,-1.4548,-0.2277,-0.0201
121407.602,-1.9335,0.1532,0.4499
121407.656,-1.1142,0.4402,0.3816
121407.703,-0.5659,0.0714,-0.0995
121407.750,-1.3498,-0.2399,-0.0653
121407.805,-1.9505,0.1020,0.4170
121407.859,-1.2228,0.4390,0.4194
121407.906,-0.5696,0.1252,-0.0604
121407.953,-1.2375,-0.2302,-0.1007
121408.000,-1.9567,0.0470,0.3913
121408.055,-1.2937,0.4304,0.4402
121408.102,-0.5635,0.1569,-0.0336
121408.148,-1.1667,-0.2277,-0.1203
121408.211,-1.9481,0.0128,0.3449
121408.258,-1.4011,0.4158,0.4756
121408.305,-0.5904,0.2082,0.0153
121408.352,-1.0604,-0.2106,-0.1459
121408.398,-1.9188,-0.0324,0.2998
121408.453,-1.5037,0.3999,0.4927
121408.508,-0.6233,0.2546,0.0629
121408.555,-0.9554,-0.1911,-0.1691
121408.609,-1.8761,-0.0836,0.2473
121408.656,-1.6013,0.3779,0.5085
121408.703,-0.6734,0.2839,0.0971
121408.750,-0.8895,-0.1667,-0.1716
121408.797,-1.8382,-0.1056,0.2143
121408.859,-1.6600,0.3547,0.5147
121408.906,-0.7125,0.3266,0.1508
121408.953,-0.8016,-0.1349,-0.1777
121409.008,-1.7735,-0.1471,0.1569
121409.055,-1.7442,0.3132,0.5122
121409.102,-0.7882,0.3584,0.2033
121409.148,-0.7332,-0.0946,-0.1752
121409.203,-1.6905,-0.1789,0.1032
121409.258,-1.8162,0.2717,0.5061
121409.305,-0.8736,0.3926,0.2595
121409.352,-0.6551,-0.0482,-0.1667
121409.406,-1.6306,-0.1996,0.0653
121409.453,-1.8602,0.2387,0.4915
121409.508,-0.9383,0.4035,0.2924
121409.555,-0.6184,-0.0177,-0.1459
121409.602,-1.5305,-0.2192,0.0153
121409.656,-1.9078,0.1947,0.4744
121409.703,-1.0336,0.4231,0.3437
121409.750,-0.5781,0.0360,-0.1215
121409.805,-1.4255,-0.2289,-0.0324
121409.859,-1.9396,0.1398,0.4426
121409.906,-1.1447,0.4267,0.3840
121409.953,-0.5647,0.0824,-0.0934
121410.000,-1.3181,-0.2338,-0.0726
121410.055,-1.9518,0.1020,0.4206
121410.102,-1.2118,0.4316,0.4145
121410.148,-0.5610,0.1203,-0.0592
121410.211,-1.2411,-0.2277,-0.0958
121410.258,-1.9579,0.0507,0.3779
121410.305,-1.3254,0.4243,0.4487
121410.352,-0.5745,0.1716,-0.0189
121410.398,-1.1349,-0.2228,-0.1313
121410.453,-1.9396,-0.0079,0.3413
121410.508,-1.4341,0.4145,0.4792
121410.555,-0.6001,0.2241,0.0324
121410.609,-1.0250,-0.1899,-0.1520
121410.656,-1.9078,-0.0519,0.2790
121410.703,-1.5391,0.3987,0.4915
121410.750,-0.6294,0.2473,0.0543
121410.797,-0.9664,-0.1947,-0.1667
121410.859,-1.8810,-0.0775,0.2509
121410.906,-1.5940,0.3755,0.5049
121410.953,-0.6770,0.2937,0.1117
121411.008,-0.8663,-0.1581,-0.1728
121411.055,-1.8248,-0.1178,0.1972
121411.102,-1.6795,0.3425,0.5134
121411.148,-0.7344,0.3376,0.1691
121411.203,-0.7747,-0.1215,-0.1777
121411.258,-1.7491,-0.1593,0.1374
121411.305,-1.7723,0.3022,0.5110
121411.352,-0.8150,0.3742,0.2253
121411.406,-0.7234,-0.0934,-0.1728
121411.453,-1.6893,-0.1789,0.1032
121411.508,-1.8211,0.2692,0.5024
121411.555,-0.8773,0.3926,0.2607
121411.602,-0.6551,-0.0458,-0.1606
121411.656,-1.5916,-0.2070,0.0446
121411.703,-1.8834,0.2155,0.4853
121411.750,-0.9799,0.4145,0.3156
121411.805,-0.5977,0.0055,-0.1361
121411.859,-1.4866,-0.2241,-0.0055
121411.906,-1.9261,0.1679,0.4597
121411.953,-1.0836,0.4280,0.3632
121412.000,-0.5708,0.0580,-0.1081
121412.055,-1.3742,-0.2326,-0.0372
121412.102,-1.9432,0.1349,0.4402
121412.148,-1.1606,0.4304,0.3938
121412.211,-0.5623,0.0946,-0.0836
121412.258,-1.2985,-0.2338,-0.0824
121412.305,-1.9554,0.0751,0.3987
121412.352,-1.2717,0.4316,0.4353
121412.398,-0.5647,0.1484,-0.0397
121412.453,-1.1850,-0.2241,-0.1166
121412.508,-1.9457,0.0238,0.3559
121412.555,-1.3828,0.4170,0.4670
121412.609,-0.5842,0.2045,0.0079
121412.656,-1.0739,-0.2131,-0.1447
121412.703,-1.9237,-0.0275,0.3193
121412.750,-1.4548,0.4084,0.4829
121412.797,-0.6074,0.2375,0.0409
121412.859,-0.9982,-0.1935,-0.1777
121412.906,-1.8968,-0.0629,0.2643
121412.953,-1.5635,0.3816,0.5024
121413.008,-0.6526,0.2814,0.0971
121413.055,-0.8932,-0.1716,-0.1752
121413.102,-1.8419,-0.1105,0.2118
121413.148,-1.6624,0.3523,0.5098
121413.203,-0.7149,0.3242,0.1508
121413.258,-0.8028,-0.1374,-0.1777
121413.305,-1.7711,-0.1471,0.1532
121413.352,-1.7466,0.3132,0.5122
121413.406,-0.7625,0.3352,0.1899
121413.453,-0.7466,-0.1056,-0.1752
121413.508,-1.7198,-0.1703,0.1190
121413.555,-1.7955,0.2851,0.5073
121413.602,-0.8468,0.3791,0.2411
121413.656,-0.6746,-0.0641,-0.1667
121413.703,-1.6258,-0.1984,0.0678
121413.750,-1.8602,0.2411,0.4951
121413.805,-0.9396,0.4060,0.2949
121413.859,-0.6172,-0.0140,-0.1459
121413.906,-1.5269,-0.2179,0.0140
121413.953,-1.9103,0.1899,0.4707
121414.000,-1.0397,0.4206,0.3437
121414.055,-0.5806,0.0360,-0.1313
121414.102,-1.4585,-0.2277,-0.0189
121414.148,-1.9335,0.1557,0.4536
121414.211,-1.1081,0.4316,0.3755
121414.258,-0.5647,0.0702,-0.1007
121414.305,-1.3523,-0.2338,-0.0617
121414.352,-1.9505,0.1044,0.4194
121414.398,-1.2179,0.4304,0.4133
121414.453,-0.5647,0.1190,-0.0641
121414.508,-1.2436,-0.2326,-0.0995
121414.555,-1.9530,0.0507,0.3791
121414.609,-1.3242,0.4267,0.4499
121414.656,-0.5708,0.1752,-0.0201
121414.703,-1.1349,-0.2204,-0.1288
121414.750,-1.9457,0.0177,0.3486
121414.797,-1.3962,0.4182,0.4658
121414.859,-0.5879,0.2033,0.0092
121414.906,-1.0678,-0.2131,-0.1471
121414.953,-1.9237,-0.0311,0.2998
121415.008,-1.4988,0.3987,0.4915
121415.055,-0.6221,0.2546,0.0617
121415.102,-0.9591,-0.1886,-0.1667
121415.148,-1.8797,-0.0800,0.2485
121415.203,-1.5965,0.3730,0.5049
121415.258,-0.6722,0.2949,0.1129
121415.305,-0.8639,-0.1593,-0.1789
121415.352,-1.8211,-0.1215,0.1911
121415.406,-1.6893,0.3559,0.5122
121415.453,-0.7137,0.3242,0.1508
121415.508,-0.8040,-0.1337,-0.1764
121415.555,-1.7735,-0.1435,0.1593
121415.602,-1.7418,0.3181,0.5159
121415.656,-0.7869,0.3596,0.2021
121415.703,-0.7259,-0.0995,-0.1764
121415.750,-1.6941,-0.1789,0.1032
121415.805,-1.8138,0.2729,0.5049
121415.859,-0.8712,0.3828,0.2558
121415.906,-0.6587,-0.0629,-0.1630
121415.953,-1.6026,-0.2033,0.0592
121416.000,-1.8748,0.2216,0.4902
121416.055,-0.9652,0.4121,0.2961
121416.102,-0.6233,-0.0201,-0.1496
121416.148,-1.5366,-0.2167,0.0140
121416.211,-1.9066,0.1935,0.4719
121416.258,-1.0348,0.4231,0.3413
121416.305,-0.5806,0.0336,-0.1227
121416.352,-1.4292,-0.2289,-0.0324
121416.398,-1.9408,0.1435,0.4487
121416.453,-1.1398,0.4328,0.3877
121416.508,-0.5635,0.0861,-0.0897
121416.555,-1.3217,-0.2363,-0.0763
121416.609,-1.9554,0.0861,0.4048
121416.656,-1.2497,0.4292,0.4267
121416.703,-0.5635,0.1349,-0.0495
121416.750,-1.2082,-0.2289,-0.0983
121416.797,-1.9554,0.0495,0.3779
121416.859,-1.3291,0.4280,0.4536
121416.906,-0.5745,0.1777,-0.0165
121416.953,-1.1288,-0.2216,-0.1325
121417.008,-1.9383,-0.0031,0.3291
121417.055,-1.4377,0.4121,0.4780
121417.102,-0.6001,0.2265,0.0336
121417.148,-1.0372,-0.2057,-0.1520
121417.203,-1.9115,-0.0433,0.2875
121417.258,-1.5256,0.3962,0.4988
121417.305,-0.6355,0.2705,0.0788
121417.352,-0.9298,-0.1801,-0.1703
121417.406,-1.8626,-0.0946,0.2485
121417.453,-1.5965,0.3767,0.5061
121417.508,-0.6734,0.2961,0.1142
121417.555,-0.8626,-0.1593,-0.1777
121417.602,-1.8187,-0.1215,0.1947
121417.656,-1.6905,0.3437,0.5147
121417.703,-0.7381,0.3388,0.1716
121417.750,-0.7711,-0.1227,-0.1789
121417.805,-1.7442,-0.1606,0.1361
121417.859,-1.7759,0.2985,0.5098
121417.906,-0.8199,0.3718,0.2253
121417.953,-0.6941,-0.0775,-0.1728
121418.000,-1.6526,-0.1899,0.0812
121418.055,-1.8468,0.2521,0.5012
121418.102,-0.8785,0.3913,0.2643
121418.148,-0.6490,-0.0446,-0.1593
121418.211,-1.5879,-0.2070,0.0458
121418.258,-1.8846,0.2167,0.4853
121418.305,-0.9811,0.4133,0.3144
121418.352,-0.5977,0.0079,-0.1374
121418.398,-1.4841,-0.2253,-0.0055
121418.453,-1.9261,0.1667,0.4585
121418.508,-1.0897,0.4499,0.3938
121418.555,-0.5672,0.0592,-0.1068
121418.609,-1.3730,-0.2302,-0.0580
121418.656,-1.9493,0.1032,0.4341
121418.703,-1.1984,0.4341,0.4084
121418.750,-0.5610,0.0922,-0.0812
121418.797,-1.2961,-0.2363,-0.0836
121418.859,-1.9567,0.0775,0.3974
121418.906,-1.2717,0.4316,0.4353
121418.953,-0.5647,0.1508,-0.0397
121419.008,-1.1850,-0.2289,-0.1190
