# Chua circuit — regime 1: fixed_point
time_ms,x_V,y_V,z_V
109970.609,-1.2631,0.1093,0.1801
109970.656,-1.2619,0.1081,0.1801
109970.703,-1.2582,0.1081,0.1764
109970.750,-1.2582,0.1068,0.1728
109970.797,-1.2631,0.1032,0.1703
109970.859,-1.2631,0.1032,0.1764
109970.906,-1.2607,0.1044,0.1764
109970.953,-1.2582,0.1081,0.1777
109971.008,-1.2607,0.1093,0.1752
109971.055,-1.2619,0.1068,0.1764
109971.102,-1.2619,0.1044,0.1740
109971.148,-1.2607,0.1032,0.1728
109971.203,-1.2595,0.1081,0.1777
109971.258,-1.2631,0.1105,0.1777
109971.305,-1.2607,0.1093,0.1813
109971.352,-1.2595,0.1056,0.1740
109971.406,-1.2595,0.1044,0.1716
109971.453,-1.2619,0.1068,0.1740
109971.508,-1.2631,0.1056,0.1764
109971.555,-1.2595,0.1056,0.1764
109971.602,-1.2582,0.1081,0.1752
109971.656,-1.2619,0.1056,0.1728
109971.703,-1.2595,0.1056,0.1740
109971.750,-1.2631,0.1020,0.1716
109971.805,-1.2607,0.1068,0.1752
109971.859,-1.2619,0.1081,0.1777
109971.906,-1.2595,0.1117,0.1789
109971.953,-1.2570,0.1081,0.1764
109972.000,-1.2582,0.1032,0.1716
109972.055,-1.2619,0.1032,0.1728
109972.102,-1.2631,0.1081,0.1740
109972.148,-1.2607,0.1056,0.1789
109972.211,-1.2595,0.1068,0.1740
109972.258,-1.2619,0.1044,0.1740
109972.305,-1.2607,0.1044,0.1740
109972.352,-1.2619,0.1044,0.1740
109972.398,-1.2619,0.1056,0.1752
109972.453,-1.2595,0.1068,0.1777
109972.508,-1.2607,0.1129,0.1801
109972.555,-1.2595,0.1068,0.1764
109972.609,-1.2607,0.1032,0.1716
109972.656,-1.2607,0.1032,0.1716
109972.703,-1.2619,0.1056,0.1752
109972.750,-1.2619,0.1081,0.1752
109972.797,-1.2595,0.1056,0.1777
109972.859,-1.2595,0.1032,0.1728
109972.906,-1.2595,0.1117,0.1764
109972.953,-1.2619,0.1093,0.1752
109973.008,-1.2643,0.1068,0.1777
109973.055,-1.2582,0.1056,0.1764
109973.102,-1.2643,0.1093,0.1764
109973.148,-1.2595,0.1093,0.1752
109973.203,-1.2619,0.1068,0.1752
109973.258,-1.2582,0.1056,0.1764
109973.305,-1.2595,0.1081,0.1740
109973.352,-1.2595,0.1093,0.1764
109973.406,-1.2595,0.1081,0.1801
109973.453,-1.2534,0.1081,0.1764
109973.508,-1.2595,0.1068,0.1752
109973.555,-1.2619,0.1056,0.1752
109973.602,-1.2619,0.1093,0.1752
109973.656,-1.2607,0.1093,0.1801
109973.703,-1.2595,0.1056,0.1752
109973.750,-1.2595,0.1093,0.1752
109973.805,-1.2607,0.1093,0.1752
109973.859,-1.2619,0.1044,0.1764
109973.906,-1.2619,0.1044,0.1740
109973.953,-1.2619,0.1081,0.1740
109974.000,-1.2619,0.1081,0.1752
109974.055,-1.2607,0.1056,0.1740
109974.102,-1.2619,0.1020,0.1752
109974.148,-1.2619,0.1056,0.1740
109974.211,-1.2643,0.1081,0.1728
109974.258,-1.2619,0.1056,0.1764
109974.305,-1.2607,0.1044,0.1752
109974.352,-1.2607,0.1056,0.1740
109974.398,-1.2619,0.1056,0.1764
109974.453,-1.2619,0.1068,0.1752
109974.508,-1.2607,0.1032,0.1740
109974.555,-1.2595,0.1081,0.1777
109974.609,-1.2631,0.1081,0.1740
109974.656,-1.2607,0.1081,0.1777
109974.703,-1.2595,0.1068,0.1764
109974.750,-1.2595,0.1056,0.1777
109974.797,-1.2607,0.1129,0.1716
109974.859,-1.2607,0.1068,0.1740
109974.906,-1.2619,0.1068,0.1764
109974.953,-1.2607,0.1044,0.1752
109975.008,-1.2619,0.1056,0.1740
109975.055,-1.2595,0.1081,0.1764
109975.102,-1.2619,0.1056,0.1752
109975.148,-1.2607,0.1044,0.1740
109975.203,-1.2607,0.1068,0.1728
109975.258,-1.2619,0.1093,0.1752
109975.305,-1.2607,0.1081,0.1777
109975.352,-1.2595,0.1056,0.1752
109975.406,-1.2595,0.0995,0.1789
109975.453,-1.2607,0.1068,0.1801
109975.508,-1.2631,0.1117,0.1752
109975.555,-1.2595,0.1044,0.1764
109975.602,-1.2607,0.1044,0.1728
109975.656,-1.2558,0.1081,0.1801
109975.703,-1.2595,0.1093,0.1764
109975.750,-1.2643,0.1044,0.1728
109975.805,-1.2619,0.0726,0.1764
109975.859,-1.2619,0.1056,0.1740
109975.906,-1.2631,0.1068,0.1752
109975.953,-1.2631,0.1056,0.1777
109976.000,-1.2607,0.1068,0.1764
109976.055,-1.2619,0.1032,0.1740
109976.102,-1.2631,0.1044,0.1740
109976.148,-1.2619,0.1056,0.1777
109976.211,-1.2619,0.1068,0.1752
109976.258,-1.2607,0.1081,0.1777
109976.305,-1.2595,0.1105,0.1752
109976.352,-1.2631,0.1056,0.1764
109976.398,-1.2619,0.1056,0.1752
109976.453,-1.2619,0.1044,0.1728
109976.508,-1.2607,0.1081,0.1777
109976.555,-1.2631,0.1081,0.1777
109976.609,-1.2582,0.1081,0.1764
109976.656,-1.2582,0.1068,0.1740
109976.703,-1.2619,0.1056,0.1703
109976.750,-1.2619,0.1056,0.1740
109976.797,-1.2631,0.1056,0.1764
109976.859,-1.2595,0.1081,0.1764
109976.906,-1.2595,0.1081,0.1752
109976.953,-1.2607,0.1068,0.1740
109977.008,-1.2619,0.1044,0.1752
109977.055,-1.2631,0.1032,0.1740
